prior_scenario,tau_mean,tau_median,tau_lower,tau_upper,I2_mean,I2_median,I2_lower,I2_upper,scenario,n,effect_size
P1,0.33875484588161686,0.2620033098267962,0.011916263565666088,1.115536424466085,12.94582274682092,6.634922846768816,0.014467644567917506,57.83122426540939,P1 - High heterogeneity,6,0.8
P1,0.30224510975637775,0.23224500779738028,0.010557528500967866,1.0030791766956293,10.898521135957635,5.2611152182989205,0.011375091056873274,51.69114124423927,P1 - High heterogeneity,8,0.8
P1,0.27565464911487253,0.2107787774765721,0.009642602508636758,0.9218755909075241,9.480374005235202,4.33295145370346,0.00943864439032083,47.244641004839586,P1 - High heterogeneity,10,0.8
P1,0.260570713751339,0.19975252321592155,0.009127586717510978,0.8683854952155725,8.66263785806418,3.8847468355467956,0.008379397484811276,43.90311274825996,P1 - High heterogeneity,12,0.8
P1,0.2516481304402201,0.19156751619375212,0.008606791371947304,0.8473880022648623,8.187792072989048,3.572100687760402,0.0074822024647299215,42.512745935158485,P1 - High heterogeneity,14,0.8
P1,0.2393807072852734,0.18198401795629543,0.00816003416938475,0.8079929273999481,7.579236647217079,3.2273501726794676,0.006672281835935637,40.17053637567099,P1 - High heterogeneity,16,0.8
P1,0.22972515485029818,0.1749300793668778,0.00785874089733594,0.7745365589241212,7.121675210974929,2.989664608622981,0.006176948674080845,38.17606295309872,P1 - High heterogeneity,18,0.8
P1,0.2180579434439173,0.1656375663401869,0.007415474187565589,0.7363889182875754,6.546959794128853,2.6892544382625054,0.005513214058256428,35.66413336035698,P1 - High heterogeneity,20,0.8
P1,0.20579714047691255,0.1563146330117854,0.007064450512131486,0.6963648311463769,5.980951271274846,2.4066298554362278,0.005008186221156719,33.196507333765766,P1 - High heterogeneity,22,0.8
P1,0.2041359176321892,0.1533306275176539,0.0068630676007641585,0.6989552886155254,5.909719923503453,2.31391896158373,0.004729067798141011,33.25631406857116,P1 - High heterogeneity,24,0.8
P1,0.19646709297677378,0.14795828238084036,0.006633211774726284,0.6716349685480582,5.542480388662818,2.1594375628544014,0.0044288032606342054,31.379679122366333,P1 - High heterogeneity,26,0.8
P1,0.18170522695756378,0.13608094295767484,0.006135497344604377,0.6259089017449702,4.875235032719125,1.8306686482855974,0.003783175452428692,28.318392800647157,P1 - High heterogeneity,28,0.8
P1,0.18458265962462128,0.13821618031657198,0.006225957796919006,0.6354427447874428,5.0251393760871155,1.8860630940623742,0.003897594152422636,29.115119363671965,P1 - High heterogeneity,30,0.8
P1,0.33587941991060766,0.26047866616054755,0.011788781775321687,1.1008360462172173,12.809695787666284,6.566515741495019,0.01422308928187253,57.196171474897426,P1 - High heterogeneity,6,0.5
P1,0.30007686861857974,0.23109590856248452,0.010492342821357576,0.9948290097996497,10.789480544510454,5.208660376859636,0.011258070790941778,51.26617195601819,P1 - High heterogeneity,8,0.5
P1,0.27428679603727,0.20993472256602524,0.009602557061345057,0.915592466152676,9.411088036068135,4.300649725632163,0.009368834509183719,46.86614581852802,P1 - High heterogeneity,10,0.5
P1,0.25896284619354704,0.19867646209593923,0.008977809718872054,0.8611496266404006,8.58532080191345,3.848728912751614,0.008135989744023683,43.51950341000737,P1 - High heterogeneity,12,0.5
P1,0.2501140273997724,0.19084381430622205,0.008621321816353217,0.839075609405943,8.113689503251747,3.545962987706913,0.007481149529538373,42.020713740789006,P1 - High heterogeneity,14,0.5
P1,0.23814324139670204,0.18137858368690668,0.00822845416089087,0.8010803505118173,7.51626797594879,3.2054827585241994,0.006793064488603421,39.73164315341228,P1 - High heterogeneity,16,0.5
P1,0.2287303382522768,0.17439170473739363,0.00792675533885126,0.7684144471160868,7.070581326306842,2.9712806453642115,0.006299722345434722,37.82803764672146,P1 - High heterogeneity,18,0.5
P1,0.2171914745968656,0.16538288892635872,0.007462733172732048,0.7307815561516855,6.503237495687076,2.679712423217393,0.0055903392755124355,35.34563083774602,P1 - High heterogeneity,20,0.5
P1,0.20502459451787017,0.15596061019466456,0.007080698977507055,0.6918802381780159,5.9418970935357835,2.3944707729579986,0.005023038402990431,32.93129808776237,P1 - High heterogeneity,22,0.5
P1,0.20321981866783329,0.15288002882609808,0.006870014745299887,0.6935608798450963,5.864841908985443,2.3017742117071496,0.004743984756174736,32.905012508933964,P1 - High heterogeneity,24,0.5
P1,0.19597257191205977,0.14773987246214498,0.006650416722880373,0.6688301460674951,5.517910311242589,2.152803474207375,0.004446087644799184,31.208570548278963,P1 - High heterogeneity,26,0.5
P1,0.18089164721845127,0.13563494589542904,0.006084563283208733,0.6230185635266273,4.839062401081592,1.8195910261346517,0.0037296888221546435,28.108112969922487,P1 - High heterogeneity,28,0.5
P1,0.18383593165536874,0.13802174910993714,0.006200587697768811,0.6300921613405994,4.986855381207028,1.8824991918584923,0.003850122059424794,28.762038507273544,P1 - High heterogeneity,30,0.5
P1,0.33462370638752104,0.25994332996902236,0.011822371953039033,1.0945514301883466,12.748774798477925,6.542868586036163,0.014244701264678328,56.93937857899854,P1 - High heterogeneity,6,0.2
P1,0.2988887067982287,0.2306249581738709,0.010434104038610685,0.9873263683573458,10.73263393573039,5.189713097069089,0.011109729857298833,50.9218931870811,P1 - High heterogeneity,8,0.2
P1,0.273149531621819,0.20931690795418184,0.009492338543626617,0.910722617377796,9.355994550970726,4.278397699719673,0.009129136733846408,46.589002308883856,P1 - High heterogeneity,10,0.2
P1,0.25833255779263864,0.1984488233847912,0.009031680717245303,0.858526747180728,8.552306731864432,3.8382567119459807,0.00825366440477557,43.364668623664066,P1 - High heterogeneity,12,0.2
P1,0.24935592945465165,0.190478286861684,0.008634574920793482,0.8350564078475395,8.073883454151268,3.534170026125706,0.007516052990551063,41.76131138206943,P1 - High heterogeneity,14,0.2
P1,0.23771810182328545,0.1812771952715804,0.008219943418856523,0.7983496107275196,7.492879519824376,3.2007961232112225,0.006785326700738925,39.571902404304915,P1 - High heterogeneity,16,0.2
P1,0.22808328102163486,0.17410391793747965,0.007913728561698233,0.7652550167098243,7.035943671072525,2.9649537930469734,0.006273060834570986,37.651245408493445,P1 - High heterogeneity,18,0.2
P1,0.2166570460900169,0.16528722732254852,0.007531023369870825,0.7264009391524033,6.471617942882204,2.6781826949839203,0.00569810458184673,35.03794571295217,P1 - High heterogeneity,20,0.2
P1,0.20444124166456,0.15573757311118946,0.007076244393820127,0.6880551071732395,5.913447190344313,2.3880486235972564,0.005032250511048173,32.70647302328082,P1 - High heterogeneity,22,0.2
P1,0.20269064517142482,0.15268377208192896,0.006847322102188533,0.69117451329925494,5.840794784609223,2.294464503917093,0.004704464446117598,32.76277185161717,P1 - High heterogeneity,24,0.2
P1,0.19563018317337336,0.1476163093291222,0.006676301231514569,0.6658391609803668,5.499483438929764,2.14979714964737,0.00448626796181128,31.031406903941722,P1 - High heterogeneity,26,0.2
P1,0.18042423292274617,0.1353873072370294,0.006112614856911347,0.6202681393267455,4.815293234567823,1.8132900657144797,0.003758321548345049,27.899485565708364,P1 - High heterogeneity,28,0.2
