prior_scenario,tau_mean,tau_median,tau_lower,tau_upper,I2_mean,I2_median,I2_lower,I2_upper,scenario,effect_size,heterogeneity
P1,0.2344087507312801,0.17935240288262494,0.008149267764146088,0.7850926321152975,7.331664922722624,3.1415459142337467,0.006649255205352608,38.77069194560196,P1_null,0,P1
P2,0.1494807216093429,0.11058664448586303,0.0049679952267373375,0.5219549520460165,3.582917470723047,1.2164446616060216,0.002466522931334064,21.944143142418092,P2_null,0,P2
P3,0.19441448686847723,0.14960038730526176,0.00686167302822852,0.6449144242087056,5.4348546374582245,2.2043838349178,0.0047230743619041185,29.992000157948638,P3_null,0,P3
